tip_label	species_name	tip_number	phylum	phylum_group
Agrobacterium_tumefaciens	Agrobacterium tumefaciens	68	Pseudomonadota	Pseudomonadota
Alicycliphilus_denitrificans	Alicycliphilus denitrificans	82	Pseudomonadota	Pseudomonadota
Aromatoleum_toluolicum	Aromatoleum toluolicum	75	Pseudomonadota	Pseudomonadota
Bacillus_carboniphilus	Bacillus carboniphilus	20	Bacillota	Bacillota
Bdellovibrio_bacteriovorus	Bdellovibrio bacteriovorus	45	Bdellovibrionota	Residuals
Brevundimonas_naejangsanensis	Brevundimonas naejangsanensis	47	Pseudomonadota	Pseudomonadota
Brucella_anthropi	Brucella anthropi	59	Pseudomonadota	Pseudomonadota
Brucella_intermedia	Brucella intermedia	62	Pseudomonadota	Pseudomonadota
Brucella_pseudintermedia	Brucella pseudintermedia	61	Pseudomonadota	Pseudomonadota
Brucella_sp._09RB8910	Brucella sp. 09RB8910	63	Pseudomonadota	Pseudomonadota
Brucella_sp._2280	Brucella sp. 2280	64	Pseudomonadota	Pseudomonadota
Brucella_sp._JSBI001	Brucella sp. JSBI001	60	Pseudomonadota	Pseudomonadota
Brucella_sp._MAB-22	Brucella sp. MAB-22	58	Pseudomonadota	Pseudomonadota
Campylobacter_concisus	Campylobacter concisus	46	Campylobacterota	Residuals
Candidatus_Nanosynbacter_sp._HMT-352	Candidatus Nanosynbacter sp. HMT-352	27	Candidatus_Saccharibacteria	Residuals
Capnocytophaga_sputigena	Capnocytophaga sputigena	29	Bacteroidota	Bacteroidota
Chlamydia_psittaci	Chlamydia psittaci	43	Chlamydiota	Chlamydiota
Cohnella_sp._LGH	Cohnella sp. LGH	22	Bacillota	Bacillota
Comamonas_aquatica	Comamonas aquatica	77	Pseudomonadota	Pseudomonadota
Comamonas_terrigena	Comamonas terrigena	76	Pseudomonadota	Pseudomonadota
Comamonas_thiooxydans	Comamonas thiooxydans	80	Pseudomonadota	Pseudomonadota
Cupriavidus_basilensis	Cupriavidus basilensis	91	Pseudomonadota	Pseudomonadota
Cupriavidus_metallidurans	Cupriavidus metallidurans	90	Pseudomonadota	Pseudomonadota
Curtobacterium_flaccumfaciens	Curtobacterium flaccumfaciens	13	Actinomycetota	Actinomycetota
Cutibacterium_acnes	Cutibacterium acnes	17	Actinomycetota	Actinomycetota
Cutibacterium_modestum	Cutibacterium modestum	16	Actinomycetota	Actinomycetota
Delftia_acidovorans	Delftia acidovorans	78	Pseudomonadota	Pseudomonadota
Delftia_tsuruhatensis	Delftia tsuruhatensis	79	Pseudomonadota	Pseudomonadota
Duganella_dendranthematis	Duganella dendranthematis	89	Pseudomonadota	Pseudomonadota
Elizabethkingia_anophelis	Elizabethkingia anophelis	30	Bacteroidota	Bacteroidota
Enterobacter_hormaechei	Enterobacter hormaechei	5	Pseudomonadota	Pseudomonadota
Enterococcus_faecium	Enterococcus faecium	21	Bacillota	Bacillota
Flavobacterium_branchiophilum	Flavobacterium branchiophilum	28	Bacteroidota	Bacteroidota
Haemophilus_parahaemolyticus	Haemophilus parahaemolyticus	8	Pseudomonadota	Pseudomonadota
Klebsiella_michiganensis	Klebsiella michiganensis	6	Pseudomonadota	Pseudomonadota
Kocuria_rhizophila	Kocuria rhizophila	12	Actinomycetota	Actinomycetota
Lancefieldella_parvula	Lancefieldella parvula	19	Actinomycetota	Actinomycetota
Massilia_oculi	Massilia oculi	87	Pseudomonadota	Pseudomonadota
Massilia_putida	Massilia putida	88	Pseudomonadota	Pseudomonadota
