phylum	species
Actinomycetota	Schaalia_sp._HMT-172
Actinomycetota	Curtobacterium_flaccumfaciens
Actinomycetota	Microbacterium_sp._AZCO
Actinomycetota	Kocuria_rhizophila
Actinomycetota	Rothia_dentocariosa
Actinomycetota	Rothia_mucilaginosa
Actinomycetota	Prescottella_equi
Actinomycetota	Cutibacterium_acnes
Actinomycetota	Cutibacterium_modestum
Actinomycetota	Lancefieldella_parvula
Bacillota	Bacillus_carboniphilus
Bacillota	Cohnella_sp._LGH
Bacillota	Enterococcus_faecium
Bacillota	Veillonella_atypica
Bacillota	Veillonella_dispar
Bacillota	Veillonella_nakazawae
Bacillota	Veillonella_sp._S12025-13
Bacteroidota	Phocaeicola_vulgatus
Bacteroidota	Prevotella_denticola
Bacteroidota	Prevotella_histicola
Bacteroidota	Prevotella_intermedia
Bacteroidota	Prevotella_jejuni
Bacteroidota	Prevotella_melaninogenica
Bacteroidota	Prevotella_nigrescens
Bacteroidota	Prevotella_scopos
Bacteroidota	Prevotella_sp._oral_taxon_299
Bacteroidota	Segatella_oris
Bacteroidota	Parabacteroides_distasonis
Bacteroidota	Capnocytophaga_sputigena
Bacteroidota	Flavobacterium_branchiophilum
Bacteroidota	Elizabethkingia_anophelis
Bacteroidota	Solitalea_canadensis
Bdellovibrionota	Bdellovibrio_bacteriovorus
Campylobacterota	Campylobacter_concisus
Candidatus_Saccharibacteria	Candidatus_Nanosynbacter_sp._HMT-352
Chlamydiota	Chlamydia_psittaci
Pseudomonadota	Brevundimonas_naejangsanensis
Pseudomonadota	Brucella_anthropi
Pseudomonadota	Brucella_intermedia
Pseudomonadota	Brucella_pseudintermedia
Pseudomonadota	Brucella_sp._09RB8910
Pseudomonadota	Brucella_sp._2280
Pseudomonadota	Brucella_sp._JSBI001
Pseudomonadota	Brucella_sp._MAB-22
Pseudomonadota	Ochrobactrum_quorumnocens
Pseudomonadota	Mesorhizobium_australicum
Pseudomonadota	Mesorhizobium_koreense
Pseudomonadota	Mesorhizobium_sp._113-1-2
Pseudomonadota	Mesorhizobium_sp._131-2-1
Pseudomonadota	Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1
Pseudomonadota	Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1
Pseudomonadota	Mesorhizobium_sp._M7A.F.Ce.TU.012.03.2.1
Pseudomonadota	Mesorhizobium_sp._M7D.F.Ca.US.005.01.1.1
Pseudomonadota	Mesorhizobium_sp._NBSH29
Pseudomonadota	Agrobacterium_tumefaciens
Pseudomonadota	Rhizobium_oryzihabitans
Pseudomonadota	Rhizobium_sp._X9
Pseudomonadota	Shinella_sumterensis
Pseudomonadota	Pseudolabrys_taiwanensis
Pseudomonadota	Paracoccus_yeei
Pseudomonadota	Thalassobaculum_sp._OXR-137
Pseudomonadota	Wolbachia_pipientis
Pseudomonadota	Sphingobium_yanoikuyae
Pseudomonadota	Cupriavidus_basilensis
Pseudomonadota	Cupriavidus_metallidurans
Pseudomonadota	Paraburkholderia_acidiphila
Pseudomonadota	Paraburkholderia_acidisoli
Pseudomonadota	Paraburkholderia_aromaticivorans
Pseudomonadota	Paraburkholderia_bonniea
Pseudomonadota	Paraburkholderia_caribensis
Pseudomonadota	Paraburkholderia_pallida
Pseudomonadota	Paraburkholderia_phytofirmans
Pseudomonadota	Paraburkholderia_sp._IMGN_8
Pseudomonadota	Paraburkholderia_sp._SOS3
Pseudomonadota	Paraburkholderia_tropica
Pseudomonadota	Alicycliphilus_denitrificans
Pseudomonadota	Comamonas_aquatica
Pseudomonadota	Comamonas_terrigena
Pseudomonadota	Comamonas_thiooxydans
Pseudomonadota	Delftia_acidovorans
Pseudomonadota	Delftia_tsuruhatensis
Pseudomonadota	Paracidovorax_avenae
Pseudomonadota	Rhodoferax_koreense
Pseudomonadota	Duganella_dendranthematis
Pseudomonadota	Massilia_oculi
Pseudomonadota	Massilia_putida
Pseudomonadota	Piscinibacter_sp._XHJ-5
Pseudomonadota	Sphaerotilus_microaerophilus
Pseudomonadota	Sphaerotilus_sulfidivorans
Pseudomonadota	Neisseria_subflava
Pseudomonadota	Aromatoleum_toluolicum
Pseudomonadota	Pseudoalteromonas_sp._3J6
Pseudomonadota	Enterobacter_hormaechei
Pseudomonadota	Klebsiella_michiganensis
Pseudomonadota	Salmonella_enterica
Pseudomonadota	Salmonella_sp.
Pseudomonadota	Yersinia_enterocolitica
Pseudomonadota	Xylella_fastidiosa
Pseudomonadota	Haemophilus_parahaemolyticus
Spirochaetota	Treponema_pallidum
