tip_label	species_name	tip_number
Paraburkholderia_phytofirmans	Paraburkholderia phytofirmans	1
Pseudoalteromonas_sp._3J6	Pseudoalteromonas sp. 3J6	2
Salmonella_sp.	Salmonella sp.	3
Salmonella_enterica	Salmonella enterica	4
Enterobacter_hormaechei	Enterobacter hormaechei	5
Klebsiella_michiganensis	Klebsiella michiganensis	6
Yersinia_enterocolitica	Yersinia enterocolitica	7
Haemophilus_parahaemolyticus	Haemophilus parahaemolyticus	8
Xylella_fastidiosa	Xylella fastidiosa	9
Rothia_dentocariosa	Rothia dentocariosa	10
Rothia_mucilaginosa	Rothia mucilaginosa	11
Kocuria_rhizophila	Kocuria rhizophila	12
Curtobacterium_flaccumfaciens	Curtobacterium flaccumfaciens	13
Microbacterium_sp._AZCO	Microbacterium sp. AZCO	14
Schaalia_sp._HMT-172	Schaalia sp. HMT-172	15
Cutibacterium_modestum	Cutibacterium modestum	16
Cutibacterium_acnes	Cutibacterium acnes	17
Prescottella_equi	Prescottella equi	18
Lancefieldella_parvula	Lancefieldella parvula	19
Bacillus_carboniphilus	Bacillus carboniphilus	20
Enterococcus_faecium	Enterococcus faecium	21
Cohnella_sp._LGH	Cohnella sp. LGH	22
Veillonella_dispar	Veillonella dispar	23
Veillonella_nakazawae	Veillonella nakazawae	24
Veillonella_sp._S12025-13	Veillonella sp. S12025-13	25
Veillonella_atypica	Veillonella atypica	26
Candidatus_Nanosynbacter_sp._HMT-352	Candidatus Nanosynbacter sp. HMT-352	27
Flavobacterium_branchiophilum	Flavobacterium branchiophilum	28
Capnocytophaga_sputigena	Capnocytophaga sputigena	29
Elizabethkingia_anophelis	Elizabethkingia anophelis	30
Prevotella_scopos	Prevotella scopos	31
Prevotella_melaninogenica	Prevotella melaninogenica	32
Prevotella_jejuni	Prevotella jejuni	33
Prevotella_denticola	Prevotella denticola	34
Prevotella_histicola	Prevotella histicola	35
Prevotella_intermedia	Prevotella intermedia	36
Prevotella_nigrescens	Prevotella nigrescens	37
Segatella_oris	Segatella oris	38
Prevotella_sp._oral_taxon_299	Prevotella sp. oral taxon 299	39
Phocaeicola_vulgatus	Phocaeicola vulgatus	40
Parabacteroides_distasonis	Parabacteroides distasonis	41
Solitalea_canadensis	Solitalea canadensis	42
Chlamydia_psittaci	Chlamydia psittaci	43
Treponema_pallidum	Treponema pallidum	44
Bdellovibrio_bacteriovorus	Bdellovibrio bacteriovorus	45
Campylobacter_concisus	Campylobacter concisus	46
Brevundimonas_naejangsanensis	Brevundimonas naejangsanensis	47
Sphingobium_yanoikuyae	Sphingobium yanoikuyae	48
Mesorhizobium_sp._M2A.F.Ca.ET.043.05.1.1	Mesorhizobium sp. M2A.F.Ca.ET.043.05.1.1	49
Mesorhizobium_sp._M1B.F.Ca.ET.045.04.1.1	Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1	50
Mesorhizobium_sp._131-2-1	Mesorhizobium sp. 131-2-1	51
Mesorhizobium_australicum	Mesorhizobium australicum	52
Mesorhizobium_sp._M7A.F.Ce.TU.012.03.2.1	Mesorhizobium sp. M7A.F.Ce.TU.012.03.2.1	53
Mesorhizobium_sp._M7D.F.Ca.US.005.01.1.1	Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	54
Mesorhizobium_sp._113-1-2	Mesorhizobium sp. 113-1-2	55
Mesorhizobium_sp._NBSH29	Mesorhizobium sp. NBSH29	56
Mesorhizobium_koreense	Mesorhizobium koreense	57
Brucella_sp._MAB-22	Brucella sp. MAB-22	58
Brucella_anthropi	Brucella anthropi	59
Brucella_sp._JSBI001	Brucella sp. JSBI001	60
Brucella_pseudintermedia	Brucella pseudintermedia	61
Brucella_intermedia	Brucella intermedia	62
Brucella_sp._09RB8910	Brucella sp. 09RB8910	63
Brucella_sp._2280	Brucella sp. 2280	64
Ochrobactrum_quorumnocens	Ochrobactrum quorumnocens	65
Rhizobium_oryzihabitans	Rhizobium oryzihabitans	66
Rhizobium_sp._X9	Rhizobium sp. X9	67
Agrobacterium_tumefaciens	Agrobacterium tumefaciens	68
Shinella_sumterensis	Shinella sumterensis	69
Pseudolabrys_taiwanensis	Pseudolabrys taiwanensis	70
Paracoccus_yeei	Paracoccus yeei	71
Thalassobaculum_sp._OXR-137	Thalassobaculum sp. OXR-137	72
Wolbachia_pipientis	Wolbachia pipientis	73
Neisseria_subflava	Neisseria subflava	74
Aromatoleum_toluolicum	Aromatoleum toluolicum	75
Comamonas_terrigena	Comamonas terrigena	76
Comamonas_aquatica	Comamonas aquatica	77
Delftia_acidovorans	Delftia acidovorans	78
Delftia_tsuruhatensis	Delftia tsuruhatensis	79
Comamonas_thiooxydans	Comamonas thiooxydans	80
Paracidovorax_avenae	Paracidovorax avenae	81
Alicycliphilus_denitrificans	Alicycliphilus denitrificans	82
Rhodoferax_koreense	Rhodoferax koreense	83
Piscinibacter_sp._XHJ-5	Piscinibacter sp. XHJ-5	84
Sphaerotilus_microaerophilus	Sphaerotilus microaerophilus	85
Sphaerotilus_sulfidivorans	Sphaerotilus sulfidivorans	86
Massilia_oculi	Massilia oculi	87
