Phylum	Role	Abundance	Relative_Abundance
Actinomycetota	ASD	71.4699120544607	7.28120762558919
Bacillota	ASD	37.1750002008063	3.78731255100931
Bacteroidota	ASD	71.2681734266216	7.26065490916388
Chlamydiota	ASD	50.8109632490393	5.17651641701365
Pseudomonadota	ASD	665.439905058444	67.7936487089952
Residuals	ASD	4.9811785008733	0.50747221932136
Spirochaetota	ASD	80.4216038198921	8.19318756890739
Actinomycetota	NT	41.1039359534362	4.05257004144568
Bacillota	NT	11.2543719005111	1.10960494029006
Bacteroidota	NT	47.95284072	4.72782572265735
Chlamydiota	NT	48.9956510867402	4.83063977085265
Pseudomonadota	NT	656.919417706518	64.7678109185751
Residuals	NT	3.76892935635877	0.37159093998218
Spirochaetota	NT	204.273219598929	20.139957666197
