Species,Head circumference,Height,Weight,Prenatal optimality level,Intrapartal optimality level,Neonatal optimality level,Prenatal optimality score,Intrapartal optimality score,Neonatal optimality score,Casein in current,Gluten in current,Vitamins in current,Puberty progress,Non-febrile seizures,Febrile seizures,Gastrointestinal disorder,Sleep problem,Antibiotics in current,psychotropic medication in current,Vineland-II composite score,VABS-II DLS socre,VABS-II communication socre,VABS-II socialization socre,VIQ,NVIQ,Full-scale IQ,ABC score,RBSR overall score,RBSR self injurious score,RBSR compulsive behavior score,RBSR ritualistic behavior score,RBSR sameness behavior score,RBSR restricted behavior score,RBSR stereotyped behavior score,ADIR behavior score,ADOS social affect score,ADOS reciprocal social score,ADOS communication and social score,ADOS communication score,SCQ overall socre,SCQ communication,SCQ interaction,SCQ stereotype
Pseudoalteromonas sp. 3J6,-0.033048336,-0.195322193,-0.063739291,-0.002115119,-0.043391401,-0.016256243,-0.010180506,-0.024756432,-0.017456268,0.0288804239646881,0.0176596319009342,-0.026265262,0.000228214163862247,0.00132881560185171,0.00055656123488412,-0.023728571,0.0108737900855492,0.11903531310396,-0.066920319,-0.595365138,-0.586900397,-0.822487808,-0.444488705,-1.777490055,-1.865692733,-1.880677524,-0.229653748,-0.035680384,0.00120824203587954,-0.055676877,0.0337465947161914,-0.03570529,-0.012429925,0.0347659692710323,-0.053802221,0.12303006322873,0.0705329521779982,0.0803006006233909,0.0307590282218753,0.0508564928030541,-0.065410565,-0.064172902,-0.005476578
Prescottella equi,-0.018630934,0.015097585479421,0.175712657903684,0.00245974097094889,-0.038639103,-0.02095059,0.00325402632584073,-0.022022496,-0.022351381,-0.118903581,-0.143273121,-0.082327207,0.159112165562366,0.0219883014016434,-0.010770137,-0.021609409,0.0252238843079923,0.14052999323162,-0.085441877,-0.302021372,-0.343354228,-0.420081088,0.0626549968328414,-1.948547703,-1.49797826,-1.789892522,-0.536062918,-0.65085271,-0.100995969,-0.186664112,-0.017940668,-0.077758817,-0.12984492,-0.135452431,-0.07586476,0.003936729443892,0.0149945555573621,0.0340203012179076,0.0298507955138363,-0.460502036,0.0956952065407559,0.255764998500871,-0.013202275
Bdellovibrio bacteriovorus,0.0292639545900102,-0.30817774,0.0521193203870085,0.0249778330773117,0.0031159827364244,-0.034663025,0.0488522031995097,0.0060125140789475,-0.035882933,0.00110007072134246,0.0422252529444289,-0.049971366,0.00735927797245872,0.0369726979771651,-0.003584997,-0.026305573,-0.028971044,0.125275678283222,0.0277575581609834,-0.499691675,-0.81324084,-0.516757322,-0.276573938,-1.038778888,-1.082685851,-1.196601815,-0.334296604,-0.704779834,-0.050856613,-0.189846575,-0.142991959,-0.166464928,-0.094230234,-0.058509991,-0.041646886,0.0187910017199029,-0.033970571,-0.043797905,0.0113378073404881,-0.068934721,-0.093061122,-0.051573016,-0.05914203
Parabacteroides distasonis,-0.142266393,-0.06656408,0.562277705428297,-0.008013138,0.0245111729175082,-0.018194015,-0.015809461,0.0104887077637355,-0.019493646,0.0566656076606834,0.0533154169109644,-0.027532298,0.19285222854051,-0.002259659,0.00422118048193762,-0.007963406,0.0199028475212472,-3.059629416,0.0257149491246948,-0.397326832,-0.507551359,-0.352725425,-0.477190737,0.771432775100803,0.183078920867169,0.51555017432155,-0.632784861,-0.655263102,0.161271547051035,-0.155183353,-0.280290158,-0.285782044,-0.054156768,-0.039352007,0.119231837301981,0.183806695832312,0.130561840954204,0.201052594226594,0.0611012412107269,-0.649410921,-0.008045565,0.209809890866878,-0.167999622
Enterobacter hormaechei,0.0260777584750486,-0.015569855,0.242545513003908,0.0494521537890517,-0.04354632,-0.040698573,0.0681151665412754,-0.024368476,-0.042278351,0.0512601247159146,0.0533626662133265,-0.032722682,0.166166544010054,-0.008374135,-0.011248949,-0.054170262,0.00315789850843492,-0.086415438,-0.151212561,-0.503414346,-0.66950461,-0.590556687,-0.333393006,-0.872572957,-0.848409721,-0.914964601,-0.233947894,0.0790203875206509,0.0694214913246803,-0.071373406,0.0859327081951142,0.0654040567347429,-0.060283834,-0.008142689,0.0346418793995826,0.112379315587394,0.0765933651826954,0.107118007276757,0.0331376523292048,-0.261176769,0.0346643202827138,0.174020293984483,-0.015223635
Xylella fastidiosa,-0.039708375,0.0260802802049323,0.0126278320792845,-0.010964691,-0.045967488,-0.021534277,-0.016407198,-0.027422107,-0.022813795,0.0152907834253599,0.0567837108328774,-0.096531895,0.0715018933510076,0.0159312496428275,0.00202366902867257,-0.017673012,0.040916775664202,0.192130860504426,-0.150215973,-0.591844617,-0.633294556,-0.77491792,-0.336169605,-1.522074335,-1.19740906,-1.436389825,-0.110884915,0.309610612281535,0.0804425299108768,0.0119276971425935,0.130526429919953,-0.012788281,0.00467892742168,0.0965154261220293,0.0635472948416375,0.0275380925842843,0.0156241229491709,-0.023936223,-0.02287671,-0.034482101,-0.054513897,-0.01285386,0.0721206734309798
Wolbachia pipientis,-0.07427472,-0.013983432,0.565396384194428,0.0141686145695464,0.0198202321077487,-0.000554706,0.0314548025612297,0.0106508926712868,-0.001602882,-0.009539928,-0.011905955,-0.078265875,0.069401396548481,-0.005861817,0.00952406352181896,-0.057194743,0.0476551591235689,-2.218695643,0.0468030260495502,-0.864388925,-0.9261877,-1.076043244,-0.814556556,-1.715812442,-1.857105224,-1.881545636,8.90307147903619e-05,-0.530198685,0.058656798713698,-0.202343216,-0.195580038,-0.145659178,-0.058417892,0.0145501216590945,0.040826329759129,0.0642437006864009,0.0713856873765408,0.0896573570145637,0.0407549395447052,-0.191155704,-0.071398993,0.0195100285399445,-0.10036169
Yersinia enterocolitica,-0.045710219,-0.214303878,-0.008013049,0.00117784452291231,-0.01400488,-0.040310853,-0.009568958,-0.008772287,-0.041859546,0.117615869334586,0.107443268911888,-0.033463989,0.0753294616016253,-0.010906829,-0.007723226,0.0136412498475193,0.00156355363914342,0.0448746719367826,-0.089109329,-0.553157529,-0.648079372,-0.669742316,-0.364415095,-1.721566681,-1.725334613,-1.835117726,-0.550289459,-0.636229968,-0.03102433,-0.164214646,-0.077848534,-0.210706744,-0.105304907,-0.044860496,-0.085082588,0.0807070094807494,0.0461496674660092,0.0391072612673762,0.0286005161945805,0.00504581773061705,-0.072021018,-0.046310848,-0.031904641
Elizabethkingia anophelis,-0.038565336,-0.103797237,0.128945801977087,0.0172402421703756,-0.021776389,-0.020632727,0.0270311032984204,-0.011339608,-0.021966435,0.0414438386932672,0.0166175741940186,-0.003555437,0.0271067942328643,0.00776145390489685,-0.003249537,-0.029206597,0.0187271695611555,0.0333998968543476,-0.034036839,-0.3468321,-0.391720274,-0.518797484,-0.136061211,-1.677827338,-1.792888002,-1.902810637,-0.279057468,-0.165957196,0.0133901694958811,-0.141709968,0.0311596183744521,0.0115479485545176,-0.030749131,-0.047683978,-0.039322067,-0.00479281,-0.022638478,-0.046973351,-0.018065493,-0.121018043,-0.00301861,-0.025921737,-0.031359995
Treponema pallidum,0.00592314778655298,-0.064356418,-0.103987368,-0.011940102,0.0112992962480278,0.00714227199139904,-0.020868794,0.0062216308449175,0.0065590432174256,-0.029003967,-0.02990392,0.0024663270527425,-0.011718999,-0.001506007,-0.000397163,0.000950139794038057,-0.010356989,0.0307742312676524,-0.011048375,0.152704922848609,0.171355779478782,0.0893144587550301,0.119827934186593,0.380931303661456,0.347801533185716,0.433708176553847,-0.205473245,-0.125666288,-0.028673623,-0.021315279,-0.003468109,-0.014152243,-0.038604268,-0.018031541,0.0228817693174052,0.0255050899036218,0.0159422424932115,0.0451277225164175,0.0251618501012095,-0.050917465,0.0404472419567717,0.0329848703142403,0.0143755412904016
Klebsiella michiganensis,-0.003990878,-0.14439112,0.0373211130068869,-0.001568921,-0.007231475,-0.017313493,0.00132621102777213,-0.002892367,-0.016446599,0.0334586133182538,0.0575811990971755,-0.011764725,-0.006077195,0.00487242451032459,-0.00110119,-0.006336534,-0.004624367,-0.028127315,-0.010959034,-0.421328339,-0.601333456,-0.43082334,-0.34290739,-1.187677192,-1.086041533,-1.195039496,-0.120114851,-0.219576768,0.000821118348783082,-0.049764911,-0.081048581,-0.092728879,-0.010950149,0.0155374057384845,-0.02301877,0.073688722364113,0.0248234025137055,0.0517981542828117,0.0454815539178782,7.26331899586046e-05,-0.095106014,0.000539696567144965,-0.027553485
Ochrobactrum quorumnocens,-0.049354104,-0.129793672,0.457737954596684,0.046824272084707,-0.010052268,-0.019649434,0.0640084931903884,-0.004676358,-0.021004303,-0.044046031,0.00810022855338099,-0.063280051,0.265399875508255,0.0226443760817539,-0.001170385,-0.027016191,0.0266521302704447,0.105299309174524,-0.046196885,-0.611419224,-0.613017001,-0.896298854,-0.248482701,-2.000737524,-2.015500838,-2.175210731,-0.288468763,0.245269597829668,0.0209483113912673,0.00671645117426949,0.0846038994080973,0.198239691627419,0.00639033071539046,-0.069466811,0.038284341124584,0.0157945367163798,-0.024859338,0.0095321864707949,0.0686870041885405,0.152800486944162,0.066415041398646,-0.063609621,0.037745575238208
