Species,Head circumference,Height,Weight,Prenatal optimality level,Intrapartal optimality level,Neonatal optimality level,Prenatal optimality score,Intrapartal optimality score,Neonatal optimality score,Casein in current,Gluten in current,Vitamins in current,Puberty progress,Non-febrile seizures,Febrile seizures,Gastrointestinal disorder,Sleep problem,Antibiotics in current,psychotropic medication in current,Vineland-II composite score,VABS-II DLS socre,VABS-II communication socre,VABS-II socialization socre,VIQ,NVIQ,Full-scale IQ,ABC score,RBSR overall score,RBSR self injurious score,RBSR compulsive behavior score,RBSR ritualistic behavior score,RBSR sameness behavior score,RBSR restricted behavior score,RBSR stereotyped behavior score,ADIR behavior score,ADOS social affect score,ADOS reciprocal social score,ADOS communication and social score,ADOS communication score,SCQ overall socre,SCQ communication,SCQ interaction,SCQ stereotype
Pseudoalteromonas sp. 3J6,,,,,,,,,,,,,,,,,,,,0.0153941837788774,0.0426039583580376,0.00430580524849098,,0.0122836951944272,0.00053615534840685,0.00139638529264851,,,,,,,,,,,,,,,,,
Prescottella equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdellovibrio bacteriovorus,,,,,,,,,,,,,,0.0400122665793175,,,,,,,0.0292382420815332,,,,,,,,,,,,,,,,,,,,,,
Parabacteroides distasonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterobacter hormaechei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylella fastidiosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolbachia pipientis,,,,,,,,,,,,,,,,,,,,0.0153941837788774,0.0340705129401068,0.00746367143708482,,,0.0147886715352172,0.0232591534966349,,,,,,,,,,,,,,,,,
Yersinia enterocolitica,,,,,,,,,,,,,,,,,,,,0.0296608978836326,0.0356416958862612,0.0244909578092615,,0.0164736954382264,0.00200694003878322,0.00224213379920399,,,,,,,,,,,,,,,,,
Elizabethkingia anophelis,,,,,,,,,,,,,,,,,,,,,,,,,0.0108450699298902,0.011974613808396,,,,,,,,,,,,,,,,,
Treponema pallidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella michiganensis,,,,,,,,,,,,,,,,,,,,0.0007852732622102,2.48011971086218e-05,0.00430580524849098,0.0249257491369765,0.000696565067951964,0.000103279068993347,6.014422331353e-05,,,,,,,,,,,,,,,0.0240946341111763,,
Ochrobactrum quorumnocens,,,,,,,,,,,,,,,,,,,,,,,,,0.0349040971226565,0.0335627521352347,,,,,,,,,,,,,,,,,
