Species,Head circumference,Height,Weight,Prenatal optimality level,Intrapartal optimality level,Neonatal optimality level,Prenatal optimality score,Intrapartal optimality score,Neonatal optimality score,Casein in current,Gluten in current,Vitamins in current,Puberty progress,Non-febrile seizures,Febrile seizures,Gastrointestinal disorder,Sleep problem,Antibiotics in current,psychotropic medication in current,Vineland-II composite score,VABS-II DLS socre,VABS-II communication socre,VABS-II socialization socre,VIQ,NVIQ,Full-scale IQ,ABC score,RBSR overall score,RBSR self injurious score,RBSR compulsive behavior score,RBSR ritualistic behavior score,RBSR sameness behavior score,RBSR restricted behavior score,RBSR stereotyped behavior score,ADIR behavior score,ADOS social affect score,ADOS reciprocal social score,ADOS communication and social score,ADOS communication score,SCQ overall socre,SCQ communication,SCQ interaction,SCQ stereotype
Pseudoalteromonas sp. 3J6,,,,,0.0198582143934264,,,0.0193597650858308,,,,,,,,,,,,0.00415555342940402,0.0212225156639117,0.000574381347609986,0.03124819961502,0.00188033888096282,0.0001211792143497,0.000306416373197729,,,,,,,,,,0.0335882417960584,,,,,,,
Prescottella equi,,,,,,,,,,,,,0.047881537115818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0274321035172532,
Bdellovibrio bacteriovorus,,,,,,0.0467666860821906,0.030344823769867,,0.0456995340409801,,,,,0.00666982488580409,,,,,,0.0296482756246107,0.00351004239897054,,,,,,,,,0.0226913650438735,,,,,,,,,,,,,
Parabacteroides distasonis,,,,,,,,,,,,,0.0488702361995507,,,,,,,,,,,,,,,,0.0406154115664298,,,,,,,,,,,0.012792676584989,,,0.0482688905056354
Enterobacter hormaechei,,,,0.0295181595504253,,,0.0384028770653973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xylella fastidiosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolbachia pipientis,,,0.034195837331943,,,,,,,,,,,,,,,,,0.00261173157781238,0.00709662526652268,0.00173152691657697,0.00604090582163214,0.03145803902574,0.00469818110441559,0.00772439161240477,,,,0.0435048903221351,,,,,,,,,,,,,
Yersinia enterocolitica,,,,,,0.00350051428845917,,,0.00339429979278559,0.0242348825491501,0.0299879458507271,,,,,,,,0.0396777575173272,0.0177240751914347,0.0192796239129729,0.0164051542513759,,0.0166134452162011,0.00292545659617252,0.00321926697777172,,,,0.0460141584205985,,,0.0426925561168504,,,,,,,,,,
Elizabethkingia anophelis,,,,,,,,,,,,,,,,,,,,,,,,0.0393328251927812,0.00599713758845209,0.00686490803973958,,,,,,,,,,,,,,,,,
Treponema pallidum,,,,,,,0.0217365734168027,,,,,,,,,,,,,,,,,,0.0367293478897483,0.0172343063562476,,,,,,,,,,,,,,,,,
Klebsiella michiganensis,,,,,,0.0156480830600131,,,0.02717155937324,,,,,,,,,,,4.04951957681872e-06,1.97904006405382e-07,4.87433308162115e-05,0.00036003192168699,1.99623143024614e-06,1.34761939800924e-07,8.94011575851323e-08,,,,,,,,,,0.0300008341048383,,,0.0127346710998918,,0.000429521912328516,,
Ochrobactrum quorumnocens,,,,,,,,,,,,,0.0118665148778623,,,,,,,,,0.0205849071687884,,0.0320517486468935,0.00880377375633162,0.00892399768481957,,,,,,,,,,,,,,,,,
