Species,Head circumference,Height,Weight,Prenatal optimality level,Intrapartal optimality level,Neonatal optimality level,Prenatal optimality score,Intrapartal optimality score,Neonatal optimality score,Casein in current,Gluten in current,Vitamins in current,Puberty progress,Non-febrile seizures,Febrile seizures,Gastrointestinal disorder,Sleep problem,Antibiotics in current,psychotropic medication in current,Vineland-II composite score,VABS-II DLS socre,VABS-II communication socre,VABS-II socialization socre,VIQ,NVIQ,Full-scale IQ,ABC score,RBSR overall score,RBSR self injurious score,RBSR compulsive behavior score,RBSR ritualistic behavior score,RBSR sameness behavior score,RBSR restricted behavior score,RBSR stereotyped behavior score,ADIR behavior score,ADOS social affect score,ADOS reciprocal social score,ADOS communication and social score,ADOS communication score,SCQ overall socre,SCQ communication,SCQ interaction,SCQ stereotype
Pseudoalteromonas sp. 3J6,-0.221366495,-1.185741735,-0.365330208,-0.047427274,-0.290050543,-0.114299282,-0.102932652,-0.166416768,-0.122678105,0.162987265468648,0.0412920614630495,-0.047525424,0.00753432764220426,-0.067722368,-0.000101525,-0.102784616,0.0174902130496153,0.636633744495539,-0.437073235,-3.975311006,-3.840701906,-5.637163591,-3.151478305,-12.06617937,-12.32580471,-12.42079644,-2.550523317,-1.270680581,-0.160108674,-0.466738342,0.0781322327975045,-0.686817366,-0.18622947,0.162138989837143,-0.493680478,1.04874611930066,0.561369773334561,0.738565845976169,0.340777511584759,0.422266752798776,-0.642291169,-0.395473208,-0.108829938
Prescottella equi,-0.154242303,-0.109644336,0.757924584474658,0.0593520446434878,-0.205644669,-0.144074105,0.0841528135307477,-0.116197129,-0.151725913,-0.567476608,-0.567242879,-0.302154925,0.892374988830342,0.095223464491918,-0.058427254,-0.121285974,-0.023597372,0.606924173799207,-0.42212005,-1.427968655,-1.912768861,-2.111570723,0.600120086791579,-9.414112312,-6.875015778,-8.474445821,-3.781285395,-4.036750556,-0.464956457,-0.936054506,-0.16526788,-0.773469149,-0.685166179,-0.999988452,-0.598873955,-0.06001483,-0.021857102,0.0661930839015343,0.149626311344515,-2.301356851,0.519177269033845,1.43349520965216,-0.203916279
Bdellovibrio bacteriovorus,0.182731032647929,-1.686307517,0.216716913058404,0.153039167909005,0.0255487855601771,-0.190982287,0.296851130874879,0.0387523452863075,-0.198154044,-0.081009267,0.186345836916953,-0.145636234,0.0790839231017993,0.196478534323869,-0.029309749,-0.185561532,-0.172586693,0.731826260066234,0.152437890342035,-3.007121918,-4.846941688,-3.129383102,-1.682592085,-5.734430522,-5.942476118,-6.627320842,-1.827496838,-3.889311783,-0.166323574,-1.095196968,-0.805185124,-0.913848037,-0.554734815,-0.342946681,-0.334031199,0.198822028575337,-0.151694558,-0.206398213,0.0634990214257809,-0.167560936,-0.588285621,-0.365034487,-0.357186691
Parabacteroides distasonis,-0.57523335,-0.230639677,4.23583710701926,-0.041035285,0.0585873068490532,-0.118842803,-0.06969992,0.0225412858978499,-0.126175195,0.278660531176346,0.251344662348585,-0.120481411,1.06654258097967,0.0265279473732895,0.0195451338420912,0.0595489933197453,0.214484611579849,-14.08982769,0.100905982168706,-2.0484311,-2.741548886,-1.323929037,-2.808111699,7.53859130608021,3.59048103933714,6.00482877557926,-2.260872966,-2.220799982,1.17289864681957,-0.748530271,-1.196623827,-1.220577325,-0.015296191,-0.20226163,0.842879218549852,0.94957952199109,0.679244894366589,1.06129964306342,0.346381938910124,-3.840811127,0.0335593545221287,1.3006192902565,-0.932041821
Enterobacter hormaechei,0.0638399309118572,-0.023179657,1.0549341026903,0.283037983421715,-0.250622494,-0.202660851,0.388073144228637,-0.139858507,-0.210760908,0.15740619775589,0.164012123333948,-0.194280432,0.759654810964972,-0.031698935,-0.059730789,-0.330148903,-0.082494439,-0.244651286,-0.62875487,-1.609133927,-2.492853179,-1.434865665,-1.09948149,-2.471935305,-2.615898683,-2.783257661,-2.420446687,-0.718164652,0.241388865423654,-0.571369349,0.299963716315661,-0.009653419,-0.397420643,-0.270965283,0.0618304660995088,0.377415202228751,0.247225834298749,0.309352529694857,0.0285961387210932,-1.884032673,0.224386142403355,1.07174609936724,-0.231677416
Xylella fastidiosa,-0.385045671,0.00975389962894483,-0.20981874,-0.088946899,-0.254942977,-0.159884885,-0.111049722,-0.155514861,-0.167911873,0.14066277150247,0.428449292871389,-0.536736944,0.475716804257371,0.0320981149638995,0.0222880148362384,-0.077364402,0.118956860260127,0.942574450065558,-1.075748718,-3.353806263,-3.856661419,-4.593287978,-1.702582975,-8.516635219,-5.620740914,-7.506550652,-1.613873983,1.75783762449928,0.596789805299283,0.184585212952462,0.830255898900617,-0.394603004,0.0858637040178265,0.465256521273336,0.218788696527998,0.213617692063915,0.0798964015084505,-0.180856132,-0.150118837,-0.381849034,-0.418681063,0.155823634890233,0.297806623649443
Wolbachia pipientis,-0.300723581,-0.063919511,4.32203310662368,0.128402991925179,0.107358858479908,-0.002516662,0.261043576474095,0.0598320792092591,-0.009838013,-0.312111049,-0.328314794,-0.553040324,0.369475946795313,-0.03993509,0.0397304085402759,-0.388518806,0.334539243971097,-14.12519556,0.334185590820561,-6.14447008,-6.604082052,-7.550730095,-5.910586062,-12.29873933,-13.35509532,-13.50128013,1.04495366445338,-3.121211827,0.437145035330665,-1.433485553,-1.139277016,-0.687285476,-0.41549808,0.127361799174883,0.295521191843003,0.389921999823844,0.449895245986409,0.548957489856762,0.262826287822254,-1.099327763,-0.50079481,0.130172863417294,-0.602195056
Yersinia enterocolitica,-0.225435299,-0.92842531,-0.06763199,-0.006521369,-0.075646011,-0.216702756,-0.072332389,-0.048061218,-0.224477417,0.587473345391639,0.56099850904114,-0.141652554,0.386927368018951,-0.073613531,-0.034452129,0.0613666808120835,-0.018923839,0.113555320284651,-0.475192829,-2.5321255,-3.002047916,-3.025868088,-1.582654238,-7.158787844,-7.348820131,-7.805832741,-2.521300225,-3.052388495,-0.107452603,-0.740795204,-0.369880796,-1.053198546,-0.533573891,-0.236002985,-0.405239799,0.346698380340346,0.185950368121325,0.138280832957489,0.11618032121428,-0.020070831,-0.334113462,-0.207291749,-0.14274378
Elizabethkingia anophelis,-0.309070623,-0.699232152,0.78123213121695,0.0857502329150265,-0.115955748,-0.137759594,0.134776410988451,-0.056556004,-0.145752259,0.267658542432581,0.117620362276445,0.0268185674574877,0.131261929139872,0.0402130203393063,-0.020587291,-0.188848697,0.0849915028324569,0.167834041224249,-0.219310442,-1.74153882,-2.07346231,-2.893864921,-0.388280748,-9.074798167,-9.999487111,-10.55317959,-2.558568446,-1.902377119,-0.019582293,-0.919138122,0.0615108252156245,-0.210210994,-0.255759919,-0.547805699,-0.375992786,-0.045840237,-0.155700248,-0.317716225,-0.134482449,-0.807221334,0.070566658552871,-0.159706552,-0.252304816
Treponema pallidum,0.0419145345730284,-0.523071898,-0.974369712,-0.092454431,0.0755428511682882,0.0479444929636876,-0.159206875,0.044055902968296,0.0436033382530898,-0.141061371,-0.166584219,0.027029326705356,-0.078994906,-0.015531628,-0.003217332,0.00878369339451811,-0.069389092,0.178910682678428,-0.09190842,1.25832167259838,1.47278715136086,0.814471508890268,0.90152663209505,3.65284825371065,3.3761947977861,4.14044412636415,-1.579159742,-0.828721184,-0.224775222,-0.154108875,-0.01446394,-0.053895238,-0.280003376,-0.087398151,0.203857600226985,0.173120261847144,0.087907765350248,0.31713159311966,0.19438063352339,-0.307083126,0.300022845093051,0.195292193989234,0.0981509524274356
