Genus	Coefficient	p value	FDR
Ochrobactrum	-0.005966587	0.422522774	0.87625222
Pseudoalteromonas	-0.89823945	1.11E-26	3.17E-24
Prescottella	-0.43286458	2.11E-16	3.01E-14
Parabacteroides	-0.414935842	1.23E-13	1.17E-11
Xylella	-0.190671269	1.27E-07	7.25E-06
Enterobacter	-0.226686213	2.66E-06	0.000126334
Wolbachia	-0.177799353	4.07E-06	0.000165775
Yersinia	-0.22199128	0.000100517	0.003183041
Treponema	-0.435122427	6.31E-06	0.000224917
Elizabethkingia	-0.112786334	0.000189545	0.005402038
Klebsiella	0.575907785	1.12E-09	8.00E-08
Bdellovibrio	0.106705431	0.000245825	0.006369097
Salmonella	-0.184604864	0.013603284	0.228055056
Shinella	-0.233130517	0.038129647	0.381330317
Enterococcus	0.019917625	0.03973072	0.381330317
Chlamydia	-0.075094396	0.147944184	0.726967111
Agrobacterium	0.025944219	0.132876395	0.676245941
Mesorhizobium	-0.027382698	0.195089477	0.787288887
Alicycliphilus	0.078423677	0.097194341	0.569150646
Flavobacterium	-0.0430785	0.458274313	0.894576571
Rhodoferax	0.040400424	0.222656613	0.834962299
Delftia	0.181160512	0.020385618	0.290495061
Sphaerotilus	-0.025954205	0.490938245	0.917267558
Cohnella	0.018773368	0.388065378	0.87625222
Neisseria	-0.000759639	0.963639666	0.99297495
Rothia	0.004287102	0.82694985	0.975215478
Kocuria	0.0017391	0.898602899	0.980578053
Brevundimonas	0.022534175	0.218879738	0.834962299
Phocaeicola	0.04768657	0.032971782	0.361421453
Duganella	-0.014461729	0.385793281	0.87625222
Curtobacterium	-0.002604828	0.832015865	0.975215478
Paraburkholderia	-0.038180583	0.636817419	0.965388109
Rhizobium	-0.011042121	0.37903266	0.87625222
Brucella	-0.00292815	0.800075805	0.975215478
Aromatoleum	0.019523389	0.541114621	0.933119101
Lancefieldella	0.001213394	0.810476315	0.975215478
Paracidovorax	0.047393434	0.240642637	0.842198608
Massilia	0.010987804	0.568074075	0.946790125
Veillonella	0.006466372	0.6958726	0.975215478
Sphingobium	0.002370185	0.882140315	0.975215478
Schaalia	0.00366905	0.575062709	0.952865536
Cutibacterium	0.048181127	0.649914327	0.972014468
Cupriavidus	0.038962579	0.465896755	0.899692602
Piscinibacter	0.029963668	0.430223492	0.87625222
Comamonas	0.024546292	0.625152067	0.95883169
Campylobacter	0.013851285	0.406469395	0.87625222
Capnocytophaga	0.012365964	0.159982846	0.758322126
Microbacterium	0.035965807	0.329997665	0.87625222
Prevotella	0.003348612	0.880942359	0.975215478
Segatella	0.005329857	0.400266016	0.87625222
Pseudolabrys	-0.008621959	0.536881324	0.932994985
Candidatus Nanosynbacter	0.000338662	0.95575054	0.99297495
Solitalea	-0.012237931	0.375419664	0.87625222
Bacillus	-0.004234757	0.567942745	0.946790125
Haemophilus	0.001460538	0.838799484	0.975215478
Paracoccus	0.001757882	0.83388555	0.975215478
Thalassobaculum	-0.000918126	0.90566736	0.980578053
