Genus,Coefficient,p value,FDR
Agrobacterium,0.682078822211436,0.130273416642641,0.436799102860619
Alicycliphilus,0.405251017651305,0.155406034088703,0.457460363975383
Aromatoleum,0.26257713639553,0.495466968632722,0.806903348916148
Bacillus,-9.947760296,0.998952837021095,0.999746733121589
Bdellovibrio,1.07135227418258,0.00387658029168547,0.018413756385506
Brevundimonas,0.641024081385535,0.253865304353433,0.516797226719489
Brucella,0.524670890019799,0.46412301267029,0.778088580064898
Campylobacter,0.192614360307509,0.781459189351357,0.958074188880411
Candidatus Nanosynbacter,-0.056694135,0.941785378371732,0.999746733121589
Capnocytophaga,0.183019557567592,0.78999099784876,0.958074188880411
Chlamydia,-0.35078141,0.0857336226044083,0.305426030528204
Cohnella,0.588184410059552,0.217379909689893,0.516277285513497
Comamonas,-0.076017992,0.779406887751684,0.958074188880411
Cupriavidus,0.0696619433574218,0.732726016013245,0.958074188880411
Curtobacterium,-0.721575803,0.32953645258433,0.605921864429252
Cutibacterium,0.0509324611202315,0.717831766476618,0.958074188880411
Delftia,0.266724645664356,0.186793093381459,0.483963923761052
Duganella,-0.668336676,0.299109234261824,0.568307545097466
Elizabethkingia,-1.265180761,0.000369860017200577,0.00206253325777193
Enterobacter,-1.186488324,2.43810182081329e-05,0.000231619672977263
Enterococcus,1.25771803516869,0.0814856432179815,0.305426030528204
Flavobacterium,-0.294387227,0.160512408412415,0.457460363975383
Haemophilus,4.79289935406483,0.999184577210721,0.999746733121589
Klebsiella,0.604690583549081,0.000398032733955986,0.00206253325777193
Kocuria,2.98423989163487,0.24660794231497,0.516797226719489
Lancefieldella,-0.636759563,0.522044339835107,0.82657020473892
Massilia,0.279579402801146,0.572323286859131,0.858484930288697
Mesorhizobium,-1.00495397,0.146654856317318,0.457460363975383
Microbacterium,0.0523522568361102,0.838247144347412,0.963786835430018
Neisseria,-0.988238011,0.228954918532432,0.516797226719489
Ochrobactrum,-101.4739033,3.79817899871211e-23,2.1649620292659e-21
Parabacteroides,-1.79200816,4.75654220191574e-08,6.77807263772992e-07
Paraburkholderia,-0.134770015,0.362172170243291,0.645119178245862
Paracidovorax,0.160817523878113,0.569197408814978,0.858484930288697
Paracoccus,-7.399672988,0.999390578982751,0.999746733121589
Phocaeicola,0.51083061574521,0.271578257086256,0.533791746686778
Piscinibacter,-0.104866754,0.73974007183735,0.958074188880411
Prescottella,-1.957261878,8.80040479704886e-10,1.67207691143928e-08
Prevotella,-0.101601364,0.842828249154841,0.963786835430018
Pseudoalteromonas,-1.866743251,1.69256856222239e-18,4.8238204023338e-17
Pseudolabrys,0.148094445824231,0.872660322019865,0.975326242257496
Rhizobium,-0.625579796,0.436782305639191,0.754442164285875
Rhodoferax,0.607927468661716,0.172489140063856,0.468184808744751
Rothia,-0.70985033,0.236646986884526,0.516797226719489
Salmonella,-0.736210207,0.00479537514076661,0.0210258756172074
Schaalia,-0.375889326,0.698646660422419,0.958074188880411
Segatella,-0.145731474,0.845427048622823,0.963786835430018
Shinella,-0.290231912,0.0211523062994426,0.0861201042191592
Solitalea,-5.561594536,0.998646999964533,0.999746733121589
Sphaerotilus,-0.39046678,0.205639070366608,0.509627261343332
Sphingobium,-0.284443511,0.636523171959859,0.9070455200428
Thalassobaculum,-1.268267764,0.999746733121589,0.999746733121589
Treponema,-0.536209711,0.000208276882207975,0.00131908692065051
Veillonella,-0.365852072,0.623023548465052,0.9070455200428
Wolbachia,-1.4956568,8.6325310034363e-05,0.000643542561015483
Xylella,-1.687128091,1.75229283496128e-05,0.000199761383185586
Yersinia,-0.886563097,9.03217629495415e-05,0.000643542561015483
