Species,Coefficient,p value,FDR
Schaalia sp. HMT-172,-0.375889326,0.698646660422419,0.999746733121589
Curtobacterium flaccumfaciens,-0.721575803,0.32953645258433,0.811079926046526
Microbacterium sp. AZCO,0.0523522568361102,0.838247144347412,0.999746733121589
Kocuria rhizophila,2.98423989163487,0.24660794231497,0.793329076104479
Rothia dentocariosa,-0.888633227,0.28736782616909,0.808403335842769
Rothia mucilaginosa,-0.582592773,0.344011093272518,0.811079926046526
Prescottella equi,-1.957261878,8.80040479704886e-10,2.93346826568295e-08
Cutibacterium acnes,0.0403883936073165,0.774924463120216,0.999746733121589
Cutibacterium modestum,0.194995704725667,0.806695585678296,0.999746733121589
Lancefieldella parvula,-0.636759563,0.522044339835107,0.945573144750707
Bacillus carboniphilus,-9.947760296,0.998952837021095,0.999746733121589
Cohnella sp. LGH,0.588184410059552,0.217379909689893,0.749585895482391
Enterococcus faecium,1.25771803516869,0.0814856432179815,0.476297903357824
Veillonella atypica,-0.365852072,0.623023548465052,0.999746733121589
Veillonella dispar,-0.754960918,0.402994937913581,0.857436038114002
Veillonella nakazawae,-0.853589899,0.351722020310415,0.811079926046526
Veillonella sp. S12025-13,-0.853589899,0.351722020310415,0.811079926046526
Phocaeicola vulgatus,0.51083061574521,0.271578257086256,0.798759579665458
Prevotella denticola,-0.195516462,0.736288810099739,0.999746733121589
Prevotella histicola,-0.696211821,0.347358446239101,0.811079926046526
Prevotella intermedia,-0.400354728,0.575689768777799,0.992496258437633
Prevotella jejuni,0.0978841093153535,0.844048083974368,0.999746733121589
Prevotella melaninogenica,-0.069383425,0.901783207201592,0.999746733121589
Prevotella nigrescens,-0.410110984,0.529520961060396,0.945573144750707
Prevotella scopos,-0.635539318,0.489925384209893,0.923203210801167
Prevotella sp. oral taxon 299,-0.311349266,0.585572792478203,0.992496258437633
Segatella oris,-0.145731474,0.845427048622823,0.999746733121589
Parabacteroides distasonis,-1.79200816,4.75654220191574e-08,1.18913555047893e-06
